Category,Sinhala Input,Reference Gloss,M2M100 Prediction,M2M100-fs Prediction (stripped),M2M Exact Match,FS Exact Match,M2M Word Overlap %,FS Word Overlap %
With Name (FS),මම හෙට අච්චුවේලි ට යනවා,මම | හෙට | අ | ච් | ච් | උ | ව් | ඒ | ල් | ඉ | ට | යනවා,මම | හෙට | අ | ත් | උ | ර් | අ | ල් | ඉ | ය් | අ | ට | යනවා,මම | හෙට | අ | ත් | උ | ර් | ඇ | ල් | ල් | අ | ට | යනවා,0,0,66.7,45.0
With Name (FS),කෞෂල්‍ය හෙට වතුර බොනවා,ක් | ගයනු කිත්ත | ෂ් | අ | ල් | යංශය | හෙට | වතුර | බොනවා,ක් | ගයනු කිත්ත | ෂ් | අ | ල් | යංශය | හෙට | වතුර | බොනවා,ක් | ගයනු කිත්ත | ෂ් | අ | ල් | යංශය | හෙට | වතුර | බොනවා,1,1,100.0,73.3
With Name (FS),ඇන්ටන් දැන් වැඩ කරන්නෙ නැ,ඇ | න් | ට් | අ | න් | දැන් | වැඩ කරනවා | නැ,ඇ | න් | ට් | අ | න් | දැන් | වැඩ කරනවා | නැ,ඇ | න් | ට් | අ | න් | දැන් | වැඩ කරනවා | නැ,1,1,87.5,69.2
With Name (FS),දර්ශන මට උදව් කළා,ද් | අ | ර් | ශ් | අ | න් | අ | මට | උදව් කරනවා | ඉවරයි,ද් | අ | ර් | ශ් | අ | න් | අ | මට | උදව් කරනවා | ඉවරයි,ද් | අ | ර් | ශ් | අ | න් | අ | මට | උදව් කරනවා | ඉවරයි,1,1,80.0,58.8
With Name (FS),මාණික්‍යා අද සින්දු කියනවා,ම් | ආ | ණ් | ඉ | ක් | යංශය | ආ | අද | ගීතයක් | කියනවා,ම් | ආ | ණ් | ඉ | ක් | යංශය | ආ | අද | ගීතයක් | කියනවා,ම් | ආ | ණ් | ඉ | ක් | යංශය | ආ | අද | ගීතයක් | කියනවා,1,1,90.0,64.7
Without Name,මට රුපියල් 6200 ක් ඕන.,මට | රුපියල් | 6000 | 200 | ක් | ඕන,මට | රුපියල් | 6000 | 200 | ක් | ඕන,මට | රුපියල් | 6000 | 200 | ක් | ඕන,1,1,100.0,100.0
Without Name,මම රුපියල් අටසිය දහහතරක් දුන්නා,මම | රුපියල් | 800 | 14 | ක් | දෙනවා | ඉවරයි,මම | රුපියල් | 800 | 14 | ක් | දෙනවා | ඉවරයි,මම | රුපියල් | 800 | 14 | ක් | දෙනවා | ඉවරයි,1,1,100.0,100.0
Without Name,මට රුපියල් නවදහස්තුන්සියක් ඕන.,මට | රුපියල් | 9000 | 300 | ක් | ඕන,මට | රුපියල් | 9000 | 300 | ක් | ඕන,මට | රුපියල් | 9000 | 300 | ක් | ඕන,1,1,100.0,100.0
Without Name,මේස් ගඳ ගහනවා.,මේස් | ගඳ | ගහනවා,මේස් | ගල් ගහනවා,මේස් | ගස,0,0,33.3,33.3
Without Name,දුවන්න එපා පාරේ,දුවනවා | එපා | පාර,ඇවිදින්න | එපා | පාර | ගේ,දුවනවා | එපා | පාර,0,1,66.7,100.0
